Movie,IndiaNet,IndiaGross,Overseas,Worldwide,imdb_id,tmdb_id,imdb_rating,runtime,rating_count,budget,Verdict
Raid,103.07,132.14,21.48,153.62,tt7363076,503838.0,7.216,120.0,109.0,4700000.0,Blockbuster
Jab Harry Met Sejal,64.33,89.35,64.08,153.43,tt5997666,441906.0,6.5,144.0,195.0,16600000.0,Blockbuster
Sonu Ke Titu Ki Sweety,108.95,139.68,13.07,152.75,tt7581902,498598.0,6.571,144.0,113.0,28000000.0,Blockbuster
Rab Ne Bana Di Jodi,84.68,117.61,33.97,151.58,tt1182937,14072.0,7.087,167.0,292.0,6400000.0,Blockbuster
Dil Dhadakne Do,76.88,106.78,43.25,150.03,tt4110568,338065.0,6.8,170.0,146.0,13000000.0,Blockbuster
Dhoom 2,81.01,112.51,37.47,149.98,tt441048,,6.9,139.0,50.0,51000000.0,Blockbuster
Raajneeti,93.66,130.08,19.45,149.53,tt1291465,37951.0,6.367,167.0,79.0,11000000.0,Blockbuster
Singh Is Bliing,89.95,124.93,24.17,149.1,tt3696192,283827.0,5.322,140.0,76.0,12750000.0,Blockbuster
Piku,79.77,110.79,38.17,148.96,tt3767372,332835.0,7.063,123.0,200.0,5500000.0,Blockbuster
Shivaay,100.33,139.35,9.56,148.91,tt3771536,370992.0,5.8,153.0,62.0,1400000.0,Blockbuster
Om Shanti Om,78.17,108.57,39.59,148.16,tt1024943,8079.0,7.094,169.0,367.0,9100000.0,Blockbuster
Kapoor & Sons,73.29,101.79,46.15,147.94,tt4900716,374173.0,7.011,137.0,181.0,3577143.0,Blockbuster
Grand Masti,102.0,141.67,6.27,147.94,tt2476154,220714.0,4.7,137.0,38.0,4900000.0,Blockbuster
Singham,100.3,139.31,8.58,147.89,tt11976134,1014214.0,4.759,145.0,29.0,41100000.0,Blockbuster
Kalank,80.35,95.65,50.66,146.31,tt6988116,556271.0,5.8,166.0,56.0,4200000.0,Blockbuster
De De Pyaar De,103.64,123.38,19.66,143.04,tt37211431,,7.243,154.0,50.0,4500000.0,Blockbuster
Dream Girl 2,104.9,124.88,15.68,140.56,tt22086334,1025067.0,5.1,134.0,10.0,9000000.0,Blockbuster
Baby,95.56,132.72,7.82,140.54,tt32843349,1205515.0,6.6,103.0,56.0,1500000.0,Blockbuster
Brothers,82.47,114.54,25.76,140.3,tt765010,,5.0,150.0,50.0,6400000.0,Blockbuster
Gabbar Is Back,87.55,121.6,17.81,139.41,tt2424988,337876.0,6.918,130.0,122.0,11000000.0,Blockbuster
Veere Di Wedding,81.39,104.35,34.6,138.95,tt5842616,483189.0,4.803,135.0,38.0,6800000.0,Blockbuster
Badla,87.99,103.88,34.61,138.49,tt8130968,581361.0,7.4,120.0,146.0,2300000.0,Blockbuster
Baaghi 3,93.37,111.15,25.9,137.05,tt8366590,594669.0,6.4,144.0,120.0,7952450.0,Blockbuster
Jugjugg Jeeyo,85.03,101.23,34.9,136.13,tt13449624,765019.0,6.338,148.0,40.0,600000.0,Blockbuster
Dear Zindagi,68.16,94.67,40.8,135.47,tt5946128,413543.0,7.0,151.0,239.0,4300000.0,Blockbuster
Vikram Vedha,78.66,93.64,41.39,135.03,tt6148156,432139.0,7.288,147.0,203.0,4500000.0,Blockbuster
Teri Baaton Mein Aisa Uljha Jiya,80.88,96.29,37.35,133.64,tt27459160,1110390.0,5.78,143.0,41.0,2710738.0,Blockbuster
Manikarnika - The Queen Of Jhansi,92.19,108.84,24.11,132.95,tt6903440,491622.0,6.6,148.0,52.0,17500000.0,Blockbuster
Munjya,107.48,127.95,4.18,132.13,tt27995594,1187058.0,5.92,121.0,25.0,3500000.0,Blockbuster
Tamasha,67.26,93.42,38.42,131.84,tt3148502,339274.0,6.8,139.0,156.0,7000000.0,Blockbuster
Neerja,75.61,105.01,26.65,131.66,tt5286444,376869.0,7.297,122.0,224.0,2900000.0,Blockbuster
Gunday,78.6,109.17,21.74,130.91,tt2574698,250551.0,4.9,152.0,105.0,3300000.0,Blockbuster
Laal Singh Chaddha,58.73,69.92,59.72,129.64,tt10028196,601635.0,6.447,164.0,76.0,23000000.0,Blockbuster
Luka Chuppi,94.75,111.87,16.99,128.86,tt8908002,585062.0,6.094,126.0,85.0,4437508.0,Blockbuster
Fukrey 3,96.65,115.06,13.31,128.37,tt26445483,805785.0,5.583,147.0,12.0,3000000.0,Blockbuster
Sam Bahadur,92.98,110.69,17.48,128.17,tt10786774,814215.0,6.839,149.0,28.0,6900000.0,Blockbuster
Lage Raho Munnabhai,74.88,104.0,23.55,127.55,tt456144,,6.3,158.0,50.0,9000000.0,Blockbuster
Baaghi,76.34,106.03,19.89,125.92,tt4864932,391629.0,6.4,134.0,135.0,5103000.0,Blockbuster
Baadshaho,78.1,108.47,16.97,125.44,tt4906960,441894.0,5.7,136.0,33.0,12300000.0,Blockbuster
Sui Dhaaga - Made In India,79.02,101.31,23.78,125.09,tt7147540,496327.0,7.2,150.0,86.0,600000.0,Blockbuster
OMG Oh My God!,81.46,113.14,10.83,123.97,tt2283748,135718.0,7.223,125.0,262.0,2500000.0,Blockbuster
Housefull,75.62,105.03,18.66,123.69,tt9104736,1146210.0,5.289,163.0,19.0,28000000.0,Blockbuster
Cocktail,71.0,98.61,24.38,122.99,tt94889,,5.4,130.0,50.0,9000000.0,Blockbuster
Singh Is Kinng,67.91,94.32,28.38,122.7,tt1146325,12273.0,5.6,135.0,98.0,14000000.0,Blockbuster
Krrish,72.16,100.22,20.38,120.6,tt432637,,7.8,169.0,50.0,2900000.0,Blockbuster
Humpty Sharma Ki Dulhania,76.81,106.68,12.9,119.58,tt3678938,276928.0,6.4,133.0,112.0,5103000.0,Blockbuster
Dishoom,70.0,97.22,22.36,119.58,tt3679060,393441.0,5.516,120.0,92.0,7200000.0,Blockbuster
Kabhi Khushi Kabhie Gham,55.65,77.29,42.0,119.29,tt248126,,2.8,127.0,50.0,4300000.0,Blockbuster
Welcome,70.15,97.43,20.48,117.91,tt19244304,,6.2,149.0,50.0,3012048.0,Blockbuster
Satyaprem Ki Katha,77.55,92.32,25.45,117.77,tt14914988,1020376.0,6.806,146.0,35.0,700000.0,Blockbuster
Pati Patni Aur Woh,86.89,103.44,14.26,117.7,tt2943764,,5.2,125.0,19.0,36320000.0,Blockbuster
Love Aaj Kal,66.56,85.33,30.89,116.22,tt1275863,19663.0,6.2,128.0,105.0,12500000.0,Blockbuster
Entertainment,72.02,100.03,15.9,115.93,tt3343784,246133.0,5.6,113.0,68.0,500.0,Blockbuster
Zara Hatke Zara Bachke,88.0,104.76,11.13,115.89,tt15576460,920679.0,5.867,132.0,15.0,45000000.0,Blockbuster
Bad Newz,66.28,78.9,36.84,115.74,tt24517830,984101.0,4.9,140.0,21.0,9600000.0,Blockbuster
Batla House,87.22,102.61,10.77,113.38,tt8869978,550485.0,6.9,146.0,56.0,1400000.0,Blockbuster
Dhadak,74.19,95.12,17.86,112.98,tt13451410,1213777.0,7.0,146.0,1.0,1900000.0,Blockbuster
Fukrey Returns,80.32,102.97,9.98,112.95,tt6712014,454776.0,6.491,135.0,55.0,2800000.0,Blockbuster
Gadar - Ek Prem Katha,76.88,106.78,4.95,111.73,tt284137,,5.2,157.0,50.0,6000000.0,Blockbuster
Bholaa,82.04,97.67,13.97,111.64,tt15302222,965606.0,5.879,144.0,29.0,11000000.0,Blockbuster
Hum Aapke Hain Koun..!,72.47,100.65,10.98,111.63,tt29868937,,5.516,181.0,50.0,9150000.0,Blockbuster
Article 370,82.37,98.06,12.51,110.57,tt30970235,1233531.0,6.8,160.0,32.0,2413068.0,Blockbuster
Kabhi Alvida Naa Kehna,44.41,61.68,48.58,110.26,tt449999,,5.5,141.0,50.0,2400000.0,Blockbuster
Student Of The Year,70.0,97.22,11.88,109.1,tt2172071,138122.0,5.8,146.0,180.0,8391922.0,Blockbuster
Special 26,66.8,92.78,15.61,108.39,tt2377938,165904.0,7.269,144.0,208.0,7100000.0,Blockbuster
Satyameva Jayate,80.5,103.21,5.11,108.32,tt8202612,531597.0,6.5,142.0,54.0,4571000.0,Blockbuster
Chak De India,66.54,92.42,15.76,108.18,tt871510,,5.4,155.0,50.0,700000.0,Blockbuster
Jodhaa Akbar,56.04,77.83,30.1,107.93,tt449994,,8.6,134.0,50.0,500.0,Blockbuster
Drishyam,67.13,93.24,14.63,107.87,tt4430212,352173.0,7.587,163.0,435.0,4600000.0,Blockbuster
Mohenjo Daro,58.0,80.56,27.3,107.86,tt3859980,402672.0,6.1,155.0,84.0,17000000.0,Blockbuster
Khiladi 786,70.0,97.22,9.55,106.77,tt2166214,147767.0,4.631,139.0,42.0,6300000.0,Blockbuster
Don - The Chase Begins Again,50.35,69.93,35.46,105.39,tt461936,,5.6,160.0,50.0,26000000.0,Blockbuster
Humshakals,63.72,88.5,16.78,105.28,tt3036740,273505.0,3.2,160.0,50.0,2756895.0,Blockbuster
Rockstar,62.0,86.11,18.35,104.46,tt1839596,79464.0,7.283,159.0,200.0,10920000.0,Blockbuster
Pink,65.39,90.82,13.44,104.26,tt5571734,415358.0,7.391,136.0,220.0,75000000.0,Blockbuster
Race,60.83,84.49,19.19,103.68,tt3499096,323677.0,7.251,134.0,1569.0,5000000.0,Blockbuster
Besharam,59.79,83.04,19.81,102.85,tt37023352,,6.833,127.0,7.0,5103000.0,Blockbuster
Fanaa,51.87,72.04,30.8,102.84,tt439662,,7.2,158.0,50.0,8000000.0,Blockbuster
Bade Miyan Chote Miyan,59.17,70.44,31.72,102.16,tt18072316,936622.0,6.6,164.0,40.0,41100000.0,Blockbuster
Tees Maar Khan,60.91,84.6,17.29,101.89,tt1572311,46040.0,3.633,137.0,98.0,7700000.0,Blockbuster
R... Rajkumar,66.1,91.81,9.4,101.21,tt2369154,240614.0,6.179,146.0,95.0,12000000.0,Blockbuster
Raaz 3,70.07,97.32,3.78,101.1,tt2140315,127498.0,5.237,139.0,38.0,3600000.0,Blockbuster
The Lunchbox,20.19,25.88,74.14,100.02,tt2350496,191714.0,7.3,104.0,743.0,3400000.0,Blockbuster
Partner,60.05,83.4,16.24,99.64,tt807758,,5.7,152.0,50.0,5510000.0,Blockbuster
Befikre,60.24,83.67,15.68,99.35,tt5108476,399624.0,5.3,132.0,57.0,15500000.0,Blockbuster
Ki & Ka,52.31,72.65,26.65,99.3,tt4744086,390437.0,5.46,126.0,62.0,3000000.0,Blockbuster
Taare Zameen Par,61.83,85.88,12.6,98.48,tt986264,,4.8,139.0,50.0,2756895.0,Blockbuster
Student Of The Year 2,69.11,82.27,15.89,98.16,tt7255568,503129.0,4.3,146.0,75.0,7700000.0,Blockbuster
Half Girlfriend,60.3,83.75,13.98,97.73,tt5474042,413884.0,6.272,135.0,79.0,7445000.0,Blockbuster
Satyagraha,63.74,81.72,15.46,97.18,tt2275802,217446.0,6.2,152.0,37.0,6700000.0,Blockbuster
Ajab Prem Ki Ghazab Kahani,64.6,82.82,14.31,97.13,tt1252596,24827.0,6.158,150.0,139.0,40000000.0,Blockbuster
Udta Punjab,60.33,83.79,13.24,97.03,tt4434004,398535.0,7.212,148.0,153.0,5980000.0,Blockbuster
Street Dancer 3D,68.28,81.29,15.71,97.0,tt9648672,644712.0,6.9,146.0,41.0,9204790.0,Blockbuster
Mere Brother Ki Dulhan,58.7,81.53,15.2,96.73,tt1740710,74458.0,5.9,139.0,72.0,5510000.0,Blockbuster
Kedarnath,66.52,85.28,11.36,96.64,tt7027278,465656.0,6.523,120.0,43.0,2293893.0,Blockbuster
Rang De Basanti,53.08,73.72,22.75,96.47,tt405508,,8.438,154.0,50.0,2800000.0,Blockbuster
Veer Zaara,41.86,58.14,37.25,95.39,tt420332,,6.1,146.0,50.0,3012048.0,Blockbuster
Once Upon Ay Time In Mumbai Dobaara!,61.0,84.72,10.47,95.19,tt1395054,42966.0,6.669,132.0,86.0,19000000.0,Blockbuster
Queen,61.0,84.72,10.32,95.04,tt105937,,6.233,143.0,50.0,1250000.0,Blockbuster
Mubarakan,55.59,77.21,17.55,94.76,tt6272828,463063.0,6.2,156.0,42.0,2121476.0,Blockbuster
Article 15,65.45,77.92,15.16,93.08,tt10324144,597089.0,7.569,130.0,159.0,8000000.0,Blockbuster
Ram Setu,71.87,85.56,7.38,92.94,tt11783766,764081.0,5.141,149.0,32.0,24066000.0,Blockbuster
Haider,56.09,77.9,13.89,91.79,tt3390572,280795.0,7.2,150.0,233.0,7000000.0,Blockbuster
Mom,37.28,51.78,39.93,91.71,tt2660806,,7.4,30.0,42097.0,3000000.0,Blockbuster
Mary Kom,56.5,78.47,13.01,91.48,tt3001638,284288.0,7.045,122.0,101.0,224056.0,Blockbuster
Jagga Jasoos,54.16,75.22,16.25,91.47,tt4129428,401285.0,6.1,180.0,94.0,19700000.0,Blockbuster
Parmanu - The Story Of Pokhran,65.89,84.47,6.7,91.17,tt6826438,465642.0,7.053,129.0,104.0,7405000.0,Blockbuster
Kuch Kuch Hota Hai,46.87,65.1,25.99,91.09,tt172684,,6.179,152.0,50.0,7952450.0,Blockbuster
Boss,54.15,75.21,15.73,90.94,tt7638348,513310.0,6.864,101.0,1736.0,45000000.0,Blockbuster
Action Jackson,57.78,80.25,10.12,90.37,tt403935,,6.859,169.0,50.0,600000.0,Blockbuster
Samrat Prithviraj,68.05,81.01,9.31,90.32,tt9637132,611598.0,6.769,136.0,26.0,4400000.0,Blockbuster
